#FID IID PC1_AVG PC2_AVG PC3_AVG PC4_AVG PC5_AVG
HG00403 HG00403 0.00290265 -0.0248649 -0.0100407 0.00957595 0.00694056
HG00404 HG00404 -0.000141221 -0.027965 -0.025389 -0.00582553 -0.00274711
HG00406 HG00406 0.00707397 -0.0315445 0.00437013 -0.00126195 -0.0114938
HG00407 HG00407 0.00683977 -0.025073 0.00652723 0.00679731 -0.0116001
HG00409 HG00409 0.000398695 -0.0290334 0.0189352 -0.00135996 0.0290464
HG00410 HG00410 0.00277094 -0.0280021 0.0209991 -0.00799089 0.0318043
HG00419 HG00419 0.00684154 -0.0326244 -0.00237159 0.0167284 -0.0119684
HG00421 HG00421 0.00157095 -0.0338115 0.00690542 0.0121058 0.00111448
HG00422 HG00422 0.00439167 -0.0332386 -0.000741482 0.0124843 -0.00362885
HG00428 HG00428 0.00516073 -0.0329604 0.00540087 0.0112387 -0.00785577
HG00436 HG00436 0.00447328 -0.0237348 -0.00593571 0.00356019 -0.00517076
HG00437 HG00437 0.00139103 -0.0311151 0.0100957 0.00734683 -0.0116122
HG00442 HG00442 0.00946 -0.0242136 0.00844519 0.0205701 -0.00925666
HG00443 HG00443 0.00526178 -0.034831 -0.00248588 0.00622927 -0.0128796
HG00445 HG00445 0.00665434 -0.0304494 0.0111395 -0.00248617 -0.0021726
HG00446 HG00446 0.00283139 -0.0325379 0.00678528 0.011145 0.0009325
HG00448 HG00448 0.00498194 -0.0378996 0.00816802 0.0197855 -0.00762755
HG00449 HG00449 0.00628986 -0.0334776 -0.0131248 0.00320658 -0.0136597
HG00451 HG00451 0.00147667 -0.0362967 0.0108081 0.0121754 0.0051038
HG00452 HG00452 0.0032127 -0.0322562 0.0162772 0.0159188 -0.0142391
HG00457 HG00457 0.00653742 -0.0323573 0.0113251 0.0153964 -0.00297518
HG00458 HG00458 0.00532815 -0.0377096 0.0112207 0.0100119 0.000801144
HG00463 HG00463 0.00165347 -0.0288531 -0.0492648 0.000662514 -0.0461586
HG00464 HG00464 0.00281282 -0.0349637 -0.0324422 0.00483016 -0.0258743
HG00472 HG00472 0.00472442 -0.0367674 0.0107773 0.0098496 -0.0210761
HG00473 HG00473 0.00257944 -0.0337156 0.00646883 0.0110565 -0.021229
HG00475 HG00475 0.00108342 -0.0435427 -0.00072034 0.0236082 -0.117965
HG00476 HG00476 0.00407296 -0.0394335 0.00306923 0.0210126 0.00633956
HG00478 HG00478 0.0023585 -0.0383817 0.00353151 0.00415972 -0.00609813
HG00479 HG00479 0.00330876 -0.0332112 0.00802871 0.0194792 -0.0104712
HG00500 HG00500 -0.00159078 -0.0393526 -0.0249507 0.00362766 -0.0824794
