CHR	POS	SNP	N	EFFECT_ALLELE	NON_EFFECT_ALLELE	EFFECT_ALLELE_FREQ	BETA	SE	r2	r2hat	P_VAL
2	169093837	rs2954939	1467	2	4	0.0616905	0.08276	0.07699	0.000788	0.873	0.2865
2	169095689	rs12619614	1467	3	2	0.36469	-0.00587	0.0386	1.579e-05	0.947	0.8801
2	169095851	rs13415004	1467	4	2	0.188821	-0.03516	0.047	0.0003819	0.955	0.4582
2	169095873	rs2724164	1467	3	2	0.0773688	-0.05603	0.06871	0.0004538	0.942	0.4187
2	169097055	rs11681374	1467	4	2	0.0340832	0.008269	0.1015	4.533e-06	0.928	0.9356
2	169097357	rs7584770	1467	2	3	0.0248807	0.1858	0.1183	0.00168	0.863	0.1196
2	169097717	rs4399687	1467	2	3	0.0313565	0.04167	0.1065	0.0001045	0.629	0.698
2	169098975	rs7589268	1467	3	1	0.355828	0.005065	0.03915	1.143e-05	0.941	0.8979
2	169099755	rs2601062	1467	3	4	0.0777096	-0.05629	0.0686	0.0004594	0.947	0.4158
2	169101252	rs1562969	1467	3	1	0.353783	0.004615	0.03913	9.493e-06	0.941	0.9069
2	169101535	rs17806461	1467	2	4	0.0497614	-0.04975	0.08469	0.0002355	0.834	0.5602
2	169101734	rs2724160	1467	3	1	0.0777096	-0.05629	0.0686	0.0004594	0.95	0.4158
2	169103251	rs1869166	1467	3	1	0.351738	0.00279	0.03918	3.463e-06	0.944	0.9437
2	169109462	rs16855343	1467	1	3	0.0252215	0.1953	0.1176	0.001881	0.876	0.09954
2	169109525	rs977171	1467	4	2	0.0569189	0.1056	0.07855	0.001232	0.824	0.1827
2	169109847	rs2724157	1467	3	1	0.267212	-0.05438	0.04155	0.001168	0.981	0.1944
2	169110995	rs10497340	1467	3	1	0.189162	-0.03671	0.04699	0.0004164	0.997	0.4386
2	169111296	rs6728233	1467	3	4	0.0228357	0.2399	0.1212	0.002667	0.672	0.0498
2	169112636	rs12472912	1467	3	1	0.301977	0.01647	0.0404	0.0001133	0.952	0.6861
